date	seed_query	candidate	locale	gl	source_batch	related_or_paa	serp_notes	ig_opportunity	absorb_slug	feasibility	verdict	notes	competition_tier	gap_notes
2026-08-11	限界収入 求め方	限界収入 求め方	ja	jp	2026-08-11-pilot01	GSC hot query	calculator SERP; site already ranks ~9	FAQ align 求め方; CTR after title change	how-to-calculate-marginal-revenue	yes	absorb	pilot; no new URL; 2026-08-25 周审：有展示只收割	locale_gap	ja「求め方」相对 EN 计算器站更具体；本站已有 slug，禁止新建
2026-08-11	calcular roi	calcular roi	es	es	2026-08-11-pilot01	GSC; como calcular el roi	many ROI calculators; rank >80	locale brief round 2 How/Example	how-to-calculate-roi	yes	absorb	pilot; meta already updated; 2026-08-25 周审：head 只收割	head	ROI 计算器被 Omni/泛工具站占位；有 GSC 展示则只改 CTR/正文
2026-08-11	wie ist meine ipv4	wie ist meine ipv4	de	de	2026-08-11-pilot01	GSC; was ist meine ip adresse	IP lookup tools; rank ~88	de IG + internal links over time	ip-address	yes	absorb	pilot; 2026-08-25 周审：head 只收割	head	IP 查询工具站占位；de 问法并入既有 ip-address
2026-08-11	sqft	square feet calculator	en	us	2026-08-11-pilot01	GSC; pies cuadrados	area converters dominate	real-estate listing use case in FAQ	square-feet	yes	absorb	pilot; 2026-08-25 周审：head 只收割	head	面积换算大词已被转换站占位；只补房产 FAQ
2026-08-11	как посчитать bmi	как посчитать bmi	ru	ru	2026-08-11-pilot01	GSC	BMI calculators; YMYL	ru copy + disclaimer/refs	how-to-calculate-bmi	yes	absorb	pilot; YMYL care; 2026-08-25 周审：head 只收割	head	BMI 头词+YMYL；ru 问法并入既有页，不进攻立项
2026-08-11	formule du gradient	formule du gradient	fr	fr	2026-08-11-pilot01	GSC; calcular gradiente	math explainer pages	fr formula+example absorb	how-to-calculate-gradient	yes	absorb	pilot; 2026-08-25 周审：有 slug 则 absorb	mid_covered	数学梯度页已有；fr 公式问法并入 how-to-calculate-gradient
2026-08-11	remove zero width characters	remove zero width characters	en	us	2026-08-11-pilot01	related: invisible characters; clean paste	2026-08-25 复核：Unformat / Leap AI / ZeroTool / TextResult 等同意图独立清洗页（码位点表+本地处理）	ZWSP 表与误杀边界已被前排覆盖；html-entity 非同意图		yes	defer	原建议 slug safe-paste-cleaner；周审由 build 改 defer；无 catalog 可 absorb；禁止拆 invisible 第二 URL	mid_covered	专用零宽/隐形字符清洗工具已占位；非 long_gap
2026-08-11	remove zero width characters	invisible characters remover	en	us	2026-08-11-pilot01	near-synonym of above	same SERP cluster as zero-width cleaners	merge into one intent; no second URL		yes	defer	与上一行同簇；父候选已 defer；禁止拆页	mid_covered	近义换词，随 zero-width 簇 defer
2026-08-11	how many tokens in my prompt	ai token counter	en	us	2026-08-11-pilot01	seed from tool-direction B1	tiktoken 在线计数器密集（token-counter.dev 等）	价表日期与误差带无法构成未覆盖意图		yes	defer	建议 slug ai-token-counter 仍属产品 P0，但不占漏斗周 build	mid_covered	同意图 token/费用页已多；无 catalog slug 则不立项硬刚
2026-08-11	cidr calculator	cidr calculator online	en	us	2026-08-11-pilot01	inventory P1 intent word	network/subnet calculators dominate	subnet table 增量不足以对抗头词		yes	defer	建议 slug cidr-calculator；产品 P1 ≠ 漏斗 build	head	CIDR/子网计算器被网络工具站占位
2026-08-13	magnets	magnet strength calculator	en	us	2026-08-13-keyword-planner-magnets	related: strongest magnets; powerful magnets; magnet grades	2026-08-25 复核：K&J / Radial Magnets / Magfine / dhit 等商店已有吸力计算器深页	吸力公式不进 H1；并入测量页 FAQ/次模块	measuring-magnetic-fields	yes	absorb	2026-08-28 用户立项 measuring-magnetic-fields；本词不再做独立吸力 URL；禁止拆 magnet-pull-force-calculator	mid_covered	磁铁店同意图独立计算器已占 EN SERP；只作次意图 absorb
2026-08-13	magnets	magnet grades	en	us	2026-08-13-keyword-planner-magnets	related: n35/n42/n52 magnets; grades of neodymium magnets; strong magnet grades	商店规格页与知识页混合	N 级 Br 表进测量页次模式，不单独立项	measuring-magnetic-fields	yes	absorb	并入 measuring-magnetic-fields；禁止按 N 级拆页	mid_covered	N 级规格被磁铁店/知识页覆盖
2026-08-13	magnets	neodymium magnets vs regular magnet	en	us	2026-08-13-keyword-planner-magnets	related: ferrite magnets vs neodymium; neodymium vs regular	问答/博客页为主；商店对照表亦常见	材料对照作测量页 FAQ，不拆 URL	measuring-magnetic-fields	yes	absorb	并入 measuring-magnetic-fields	mid_covered	NdFeB vs ferrite 对照已被商店/博客覆盖
2026-08-13	magnets	magnet sizes	en	us	2026-08-13-keyword-planner-magnets	related: neodymium magnets size chart; standard magnet sizes; 8x3mm 系列	商店尺寸表为主	尺寸作次模式预设，不拆 URL	measuring-magnetic-fields	yes	absorb	并入 measuring-magnetic-fields；产品规格词仅作预设素材	mid_covered	尺寸表被商品页占位
2026-08-13	magnets	types of magnets	en	us	2026-08-13-keyword-planner-magnets	related: three/7/5/4 types of magnets; types of strong magnets	百科 / 教育页	类别表若有主工具再吸收		yes	defer	知识意图；不建独立页	head	类型百科被教育/维基占位
2026-08-13	magnets	different magnetic materials	en	us	2026-08-13-keyword-planner-magnets	related: list of magnetic materials; examples of magnetic materials	知识页	与材料对比词同源		yes	defer	与 neodymium vs regular 合并处理	mid_covered	磁性材料列表属知识页
2026-08-13	magnets	how do magnets work	en	us	2026-08-13-keyword-planner-magnets	related: magnets explained; magnets and how they work; understanding magnets	科普 / 维基	无独立交互形态		no	drop	纯教育意图	head	科普头词，不可做成工具
2026-08-13	magnets	everyday uses of magnets	en	us	2026-08-13-keyword-planner-magnets	related: things that use magnets; 5 uses of magnets; everyday objects that use magnets	列表型内容	无独立工具形态		no	drop	列表型知识	head	列表知识，不可做成工具
2026-08-13	magnets	buy neodymium magnets online	en	us	2026-08-13-keyword-planner-magnets	related: magnets for sale; magnets near me; home depot/walmart magnets	电商 / 零售页；竞争高	非本站业务		no	drop	商业购买意图	head	购买/零售意图
2026-08-13	magnets	custom magnets	en	us	2026-08-13-keyword-planner-magnets	related: fridge magnets; personalized photo magnets; custom printed magnets	定制印刷服务页	产品定制意图，非工具形态		no	drop	定制/冰箱磁铁意图	head	定制商品意图
2026-08-28	measuring magnetic fields	measuring magnetic fields	en	us	2026-08-13-keyword-planner-magnets	related: tesla to gauss; hall probe; gaussmeter; earth magnetic field	教育/霍尔探头指南与仪器商为主；少量 tesla↔gauss 转换器；与商店吸力计算器不同意图	读数换算+典型场强表+仪器量程+N 级轴向估算	measuring-magnetic-fields	yes	build	用户 2026-08-28 确认立项；替换原 slug magnet-pull-force-calculator；H1=measuring magnetic fields；吸力/等级/尺寸一带多场景	long_gap	可交互「换算并解读一次读数」相对文章/卖仪器页仍有缺口；tesla-gauss 纯转换器存在故不把单位换算当唯一卖点
2026-08-28	cidr	terraform cidrsubnet	en	us	2026-08-28-cidr-longtail-serp	related: cidrsubnet; cidrhost; cidrnetmask	Bing intl: HashiCorp docs+blogs; thin interactive evaluators	newbits/netnum 边界+三函数对照+手算步骤		yes	build	slug=terraform-cidrsubnet H1=Terraform cidrsubnet path=/tools/terraform-cidrsubnet；草稿 mid_covered→人工 long_gap；P0	long_gap	文档占解释位，缺可交互求值
2026-08-28	cidr	ip range to cidr	en	us	2026-08-28-cidr-longtail-serp	related: convert ip range to cidr; cidr aggregation	Bing 误匹配 what-is-my-ip 品牌；意图仍为 range→CIDR	贪心汇总+非对齐多前缀+分族失败		yes	build	slug=ip-range-to-cidr H1=IP range to CIDR；列表模式同页；P0	long_gap	专用最少覆盖转换相对泛计算器仍薄
2026-08-28	cidr	private cidr ranges	en	us	2026-08-28-cidr-longtail-serp	related: private ip ranges cidr; tailscale cidr	速查/文章/CGNAT 表；交互分类少	RFC1918+CGNAT+ULA/文档前缀；输入即分类		yes	build	slug=private-cidr-ranges H1=Private CIDR ranges path=/tools/private-cidr-ranges；P0	long_gap	表多缺交互分类器
2026-08-28	cidr	ipv6 cidr calculator	en	us	2026-08-28-cidr-longtail-serp	related: ipv6 cidr; ipv6 cidr notation; ipv6 cidr chart	IPv6 专用计算器密集（ipvoid/dnschecker 等）	压缩展开+nibble 失败+/64/127/128；禁止 IPv4 换皮		yes	build	slug=ipv6-cidr H1=IPv6 CIDR calculator；搜 IPv6 必进此页不并 IPv4；P1 须满 IG	mid_covered	工具已多；独立页满足意图，靠边界 IG 差异化
2026-08-28	cidr	cidr cheat sheet	en	us	2026-08-28-cidr-longtail-serp	related: cidr chart; cidr notation chart; cidr chart comptia	泛计算器+PDF 速查混排	可点选 /8–/32+CompTIA 列+/31 脚注		yes	build	slug=cidr-cheat-sheet H1=CIDR cheat sheet；what-is/notation FAQ absorb；P1	mid_covered	交互表相对静态 PDF 有增量
2026-08-28	cidr	cidr range checker	en	us	2026-08-28-cidr-longtail-serp	related: cidr checker; splunk cidrmatch	与 MxToolbox/cidr.xyz 泛计算器同簇	contains/overlap 作模式		yes	absorb	absorb_slug=cidr-to-ip-range；不拆 overlap 独立 URL	head	同意图被泛 CIDR 工具吞掉
2026-08-28	cidr	cidr expander	en	us	2026-08-28-cidr-longtail-serp	related: cidr to ip list; cidr all ips	与泛计算器同簇	限额展开作模式		yes	absorb	absorb_slug=cidr-to-ip-range	head	不拆 expander 近义页
2026-08-28	cidr	subnet mask to cidr	en	us	2026-08-28-cidr-longtail-serp	related: cidr to subnet mask; cidr 24 subnet mask	calculator.net 等工具密集	掩码模式+表		yes	absorb	absorb→cidr-to-ip-range 与 cidr-cheat-sheet	head	掩码互转已被子网计算器覆盖
2026-08-28	cidr	aws vpc cidr	en	us	2026-08-28-cidr-longtail-serp	related: vpc cidr block; aws cidr block	Bing 出 AWS 首页品牌噪声；docs 讲规则	三 AZ 分配+厂商限制+避 172.17		yes	build	slug=aws-vpc-cidr-planner H1=AWS VPC CIDR planner；P2；禁 what-is	long_gap	缺按约束生成子网的交互
2026-08-28	cidr	vlsm cidr subnet calculator	en	us	2026-08-28-cidr-longtail-serp	related: cidr splitter; cidr divider	SERP 被百度壳污染；竞品计算器常带 VLSM	装箱顺序+失败+剩余表		yes	defer	slug=vlsm-subnet-calculator 产能后；P2	mid_covered	VLSM 已被子网计算器覆盖倾向
2026-08-28	cidr	cidr calculator	en	us	2026-08-28-cidr-keyword-planner	related: cidr calculator online; ip cidr calculator	网络工具站占位	/31/32+二进制；上线后收割		yes	defer	slug=cidr-to-ip-range H1=CIDR to IP range；不占周 build	head	搜索量≠立项理由
2026-08-28	cidr	cidr for cattle	en	us	2026-08-28-cidr-keyword-planner	related: cidr protocol; 7 day cidr protocol	兽药页	非网络意图		no	drop	cidr-cheat-sheet FAQ 消歧	head	同形词
														
2026-08-28	cidr	cidr notation	en	us	2026-08-28-cidr-100plus-serp	related: what is cidr notation; cidr chart	1k-10k head; chart/docs/tool mix; NetworkProGuide+AWS+GfG	FAQ+/31 footnotes; no standalone what-is URL		yes	defer	head term no attack; absorb FAQ to cidr-cheat-sheet	head	education/cheat-sheet occupied
2026-08-28	cidr	cidr calculator ipv4	en	us	2026-08-28-cidr-100plus-serp	related: cidr calc; cidr to ip range; cidr block calculator	tool~10 MxToolbox/calculator.net/cidr.xyz	/31/32+binary; harvest only	cidr-to-ip-range	yes	absorb	same cluster as generic CIDR calculators	head	head-adjacent; no near-synonym URL
2026-08-28	cidr	cidr chart	en	us	2026-08-28-cidr-100plus-serp	related: cidr notation chart; cidr chart comptia	cheat sheet/PDF/calculator mix; comptia same cluster	clickable table+CompTIA column	cidr-cheat-sheet	yes	absorb	no separate comptia URL; P1 interactive chart planned	mid_covered	interactive table vs static PDF
2026-08-28	cidr	what is cidr	en	us	2026-08-28-cidr-100plus-serp	related: cidr meaning; cidr full form; what does cidr stand for	AWS/GfG/Coursera education pages	FAQ disambiguation+link to chart/calc	cidr-cheat-sheet	yes	absorb	no standalone what-is page; reject draft long_gap	head	definition intent
2026-08-28	cidr	ipv6 cidr	en	us	2026-08-28-cidr-100plus-serp	related: ipv6 cidr calculator; ipv6 cidr notation	test-ipv6/wiki/Cisco mix; calculator term already mid	nibble+/64/127; dedicated page	ipv6-cidr	yes	build	confirm P1 slug; do not merge into IPv4	mid_covered	distinct intent; differentiate via boundary IG
2026-08-28	cidr	cidr block	en	us	2026-08-28-cidr-100plus-serp	related: cidr block calculator; aws vpc cidr	AWS what-is + explainers; calculator variants head	planner not what-is	aws-vpc-cidr-planner	yes	defer	P2 later; ban empty definition page	mid_covered	docs own explanation slot
2026-08-28	cidr	ip cidr	en	us	2026-08-28-cidr-100plus-serp	related: what is my ip	Bing mismatch what-is-my-ip brand cluster			no	drop	not network CIDR tool intent	head	lookup noise
2026-08-28	cidr	network cidr	en	us	2026-08-28-cidr-100plus-serp	related: cidr network; cidr network analy	CN company-lookup shells or generic calc; analy truncated			no	drop	noise/truncated; no tool	head	SERP unusable or same calc cluster
2026-08-28	cidr	cidr to ip range	en	us	2026-08-28-cidr-planner-rerun	related: cidr calculator; cidr calculator ipv4; cidr range calculator	head seed cidr calculator tool-dense; L titles mostly generic Subnet/CIDR Calculator (IPAddressGuide near-miss only)	/31/32+bitwise+capped expand; modes mask/visual/contains	cidr-to-ip-range	yes	defer	slug=cidr-to-ip-range H1=CIDR to IP range; title_gap_fallback; replaces cidr-host-range; no week attack	head	title_gap_fallback|seed=cidr calculator
2026-08-28	cidr	cidr cheat sheet	en	us	2026-08-28-cidr-planner-rerun	related: cidr chart; cidr notation chart; cidr chart comptia	cheat-sheet titles common; win via interactive table IG	clickable /8-/32+CompTIA+/31 footnote	cidr-cheat-sheet	yes	build	slug renamed from cidr-prefix-chart; P1	mid_covered	interactive vs PDF
2026-08-28	cidr	aws vpc cidr	en	us	2026-08-28-cidr-planner-rerun	related: vpc cidr block; aws cidr block	docs/brand noise; build only as allocator	AZ split+limits+avoid 172.17	aws-vpc-cidr-planner	yes	build	slug renamed from vpc-cidr-planner; P2	long_gap	planner not what-is
2026-08-31	create zip file	zip files online	en	us	2026-08-31-p0-scene-longtail-selection	also: create zip file; zip folder online; zip files with password	Bing CN hijack/desktop 7-Zip; Google ezyZip owns online zip	password/folder as modes not extra URLs		yes	defer	product slug create-zip-file; do not H1-attack zip files online	head	online zip tools occupied on Google
2026-08-31	create zip file	zip folder online	en	us	2026-08-31-p0-scene-longtail-selection	also: convert folder to zip	ezyZip has folder-to-zip page	folder mode+progress		yes	defer	absorb into create-zip-file when named; no second URL	mid_covered	same job-type as create zip
2026-08-31	create zip file	zip files with password	en	us	2026-08-31-p0-scene-longtail-selection	also: create encrypted zip	ezyZip dedicated password page	AES chip not new slug		yes	defer	chip on create-zip-file	mid_covered	password zip already tooled
2026-08-31	amazon main image size	amazon product image size	en	us	2026-08-31-p0-scene-longtail-selection	also: seller central image requirements; 2000x2000; zoom 1000px	Bing Amazon homepage hijack; Google seller guides not resize tools	longest-edge+white RGB+85% fill+file cap	amazon-main-image-size	yes	defer	H1=Amazon main image size; wait user name; not week attack	mid_covered	guides cover size knowledge; interactive check is IG
2026-08-31	amazon main image size	amazon main image 2000x2000	en	us	2026-08-31-p0-scene-longtail-selection	also: 1600px; amazon zoom not working	pixel task vs generic size guides	export 2000 + zoom FAQ	amazon-main-image-size	yes	defer	title_gap candidate on same slug; no extra URL	long_gap	specific px less titled on guide SERP
2026-08-31	iphone app store screenshot size	iphone 6.9 screenshot size	en	us	2026-08-31-p0-scene-longtail-selection	also: 1320x2868; 1290x2796; 1260x2736; screenshot specifications	Bing iPhone PDP hijack; Google 2026 specs + SaaS	exact px ZIP; 6.7 FAQ retired	iphone-app-store-screenshot	yes	defer	H1 must be 6.9 not 6.7; wait user name	mid_covered	spec blogs and screenshot SaaS exist
2026-08-31	iphone app store screenshot size	iphone 6.7 screenshot size	en	us	2026-08-31-p0-scene-longtail-selection	stale display class	do not use as H1	FAQ merged into 6.9	iphone-app-store-screenshot	yes	drop	legacy query only	head	outdated slot; doorway risk if second URL
2026-08-31	apple touch icon size	apple-touch-icon generator	en	us	2026-08-31-p0-scene-quoted-serp	also: favicon generator; realfavicongenerator	Bing tool=10 iconifier/manytools/snappicon	180 PNG+link tag is table stakes		yes	defer	do not H1 generator; slug apple-touch-icon title_gap	head	generator SERP packed
2026-08-31	apple touch icon size	apple-touch-icon 180x180	en	us	2026-08-31-p0-scene-longtail-selection	also: apple-touch-icon.png; precomposed	hyphen query hits Apple docs+guides	opaque 180 default; legacy sizes folded	apple-touch-icon	yes	defer	preferred H1 with size; same URL as generator intent	mid_covered	docs+guides; generators on sibling query
2026-08-31	open graph image size	open graph image size	en	us	2026-08-31-p0-scene-seeds-serp	also: 1200x630; og:image size; facebook open graph image size; 1200x627	Bing guides imagedimensions/og-image.org; few crop tools	crop 1.91:1 + volume; link to open-graph-preview	open-graph-image-size	yes	defer	cleanest Bing seed; H1=Open Graph image size; wait user name	mid_covered	size guides occupy what-size intent
2026-08-31	open graph image size	og image 1200x630	en	us	2026-08-31-p0-scene-longtail-serp	Bing related junk: open ai images	Bing reads OG as slang	use full open graph phrase only		no	drop	short og image query unusable on Bing	head	slang/esports mismatch
2026-09-01	text compare	compare two texts online	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: text compare online; diff checker	titles already use two texts	paste A/B highlight	text-diff	yes	absorb	H1 switched to check difference between two texts; this phrase in desc	head	harvest|not H1
2026-09-01	text compare	check difference between two texts	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: compare two texts online	Bing titles rarely use full phrase	line/word/char+CRLF	text-diff	yes	absorb	H1=Check difference between two texts; keep path text-diff	head	title_gap_fallback|seed=text compare online
2026-09-01	text compare	compare two text files online	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: compare two text files; txt compare	file pickers differ from paste	UTF-8/BOM/reject binary		yes	build	slug=compare-two-text-files-online H1=Compare two text files online; user named topic	head	scene split|file vs paste
2026-09-01	text compare	compare two word documents for differences	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: compare two word documents; word compare online	Microsoft how-to + Draftable	extract text not Review pane		yes	build	slug=compare-two-word-documents-for-differences	mid_covered	user named; long-tail H1
2026-09-01	text compare	json diff checker online	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: json diff checker; json compare diff	jsondiff.com cluster; do not H1 head	ignore key order+paths		yes	build	slug=json-diff-checker-online H1=JSON diff checker online	head	long-tail H1 not json diff checker
2026-09-01	text compare	excel compare files	en	us	keywords/text-compare/2026-09-01-text-compare-topic	also: excel compare online	spreadsheet tools packed	cell grid first sheet		yes	build	slug=excel-compare-files H1=Excel compare files	head	long-tail object=files
